datetime,open,high,low,close,hlc3,ema10,ema20
2013-04-01,93.25,164.75,92.49999,162.304,139.85133,,
2013-04-08,163.9,290.0,1.06,90.171,127.077,,
2013-04-15,89.86,142.0,0.01,117.621,86.54366666666665,,
2013-04-22,119.96,169.13,13.0,135.28,105.80333333333333,,
2013-04-29,134.63,148.5,80.0,116.57,115.02333333333333,,
2013-05-06,116.587,124.3,98.0,114.33,112.21,,
2013-05-13,115.97,122.0,103.45,118.25,114.56666666666666,,
2013-05-20,118.23,133.0,116.0,130.24,126.41333333333334,,
2013-05-27,130.27,140.68,117.0,123.8,127.16000000000001,,
2013-06-03,123.41,132.87,89.9,100.0,107.58999999999999,116.2238663333333,
2013-06-10,100.3,119.0,93.0,99.0,103.66666666666667,113.9407391212121,
2013-06-17,99.0,108.5,91.0,100.4,99.96666666666665,111.39999867493111,
2013-06-24,100.4,102.13,86.15,89.55,92.61,107.98363527948909,
2013-07-01,89.58,91.56,1.0,74.07786,55.54595333333333,98.44951128927896,
2013-07-08,73.99,101.39,70.0,90.07,87.15333333333332,96.3956607518343,
2013-07-15,89.01100000000002,99.83,77.0,85.78,87.53666666666668,94.78493455453109,
2013-07-22,85.77,95.68,82.99,92.45,90.37333333333333,93.98282524158604,
2013-07-29,92.01,101.03,90.54,96.38,95.98333333333333,94.3465539855401,
2013-08-05,96.38,98.91,89.51,94.04,94.15333333333335,94.31142295786614,
2013-08-12,94.0,101.0,93.31,99.25,97.85333333333334,94.95540666249654,103.35406416666667
2013-08-19,99.25,114.76,98.82,113.11,108.89666666666666,97.49018120870929,103.88193107142858
2013-08-26,113.28,134.94,110.0,130.41,125.11666666666667,102.51317856470153,105.90428684240364
2013-09-02,130.73,132.05,115.0,117.98,121.67666666666668,105.9974491286952,107.4064182542382
2013-09-09,118.06,129.11,115.98561,125.06,123.38520333333334,109.15885898408395,108.92820730939012
2013-09-16,125.29,128.41,121.5,122.97,124.29333333333334,111.91058159303839,110.39155264500376
2013-09-23,122.93,128.8,121.89,126.76,125.81666666666666,114.43896069733444,111.86061112325737
2013-09-30,127.0,128.5,83.26,122.49,111.41666666666667,113.88945269175848,111.81833069882016
2013-10-07,122.22,133.23,120.8,132.82,128.95,116.62773402052966,113.44991825131348
2013-10-14,132.6,178.5,132.0,166.89,159.13,124.35541874406972,117.80040222737885
2013-10-21,166.44,215.0,155.81,197.9,189.57000000000002,136.21261533605704,124.63560201524754
2013-10-28,196.0,219.89,192.15,213.8975,208.64583333333334,149.38229133556183,132.6365764264938
2013-11-04,213.949,386.0,211.0,325.0,307.3333333333333,178.10066260788392,149.27436279857375
2013-11-11,321.0,499.99,311.56,492.0,434.51666666666665,224.72175425493532,176.44029650029688
2013-11-18,493.2,909.0,360.0,815.01,694.6700000000001,310.1668898449471,225.79550635741145
2013-11-25,814.16,1171.25,768.0,955.0,964.75,429.18200078222947,296.17212479956277
2013-12-02,950.2601,1175.0,538.0,784.9,832.6333333333333,502.5367885187938,347.2636684694457
2013-12-09,786.0,992.0,767.21,859.71,872.9733333333334,569.8888875759828,397.3312555993397
2013-12-16,860.33,864.0,381.51,613.58,619.6966666666667,578.9448474106526,418.508913796228
2013-12-23,612.66,764.0,608.01,728.3,700.1033333333334,600.9736630329583,445.327429942619
2013-12-30,726.82,939.8,710.02,905.36,851.7266666666666,646.565118239087,484.0321191544331
2014-01-06,905.0,995.0,765.0,842.68,867.56,686.7460058319803,520.558583996868
2014-01-13,842.0,850.25,765.03,841.11,818.7966666666666,710.7552168928323,548.9622109178013
2014-01-20,842.07,844.99,767.23,815.0,809.0733333333334,728.6312380638325,573.7346987668996
2014-01-27,815.0,829.0,726.5,814.222,789.9073333333332,739.7723462946508,594.3225687256075
2014-02-03,814.222,829.0,620.0,689.0,712.6666666666666,734.8440409077446,605.5934351961846
2014-02-10,686.1,721.35,200.0,620.99,514.1133333333333,694.7111849851243,596.8810445425797
2014-02-17,622.19,664.0,530.0,607.15175,600.3839166666667,677.5607725635865,597.2146514115404
2014-02-24,606.1111,614.89,400.0,565.37191,526.75397,650.1413539156617,590.5041103247271
2014-03-03,566.0,719.25,563.0,638.5,640.25,648.342925930996,595.2418141033245
2014-03-10,638.52,654.0,606.0,632.01,630.67,645.1296666708149,598.615927045865
2014-03-17,631.8,632.5,550.09,558.0,580.1966666666667,633.3236666700607,596.8617117716556
2014-03-24,558.5,593.25,436.2,460.9999,496.81663333333336,608.504206063383,587.3336090632439
2014-03-31,460.6,513.9,415.46,458.78,462.7133333333333,581.9967746579194,575.465011374681
2014-04-07,458.5,461.0,340.0,418.0,406.3333333333333,550.0579671443584,559.3572325136003
2014-04-14,417.6,547.0,406.4,500.9501,484.7833666666667,538.1898579665963,552.2549595757971
2014-04-21,501.21,515.646,427.55,429.99,457.72866666666664,523.5605504575182,543.2524554892133
2014-04-28,429.99,463.53,423.11,435.0413,440.5604333333333,508.46962007130276,533.472262902939
2014-05-05,438.58799899,459.65,419.4,437.76,438.93666666666667,495.8272649068235,524.4688727851988
2014-05-12,437.97,453.0,431.8,447.4,444.0666666666666,486.4162470449768,516.811519821529
2014-05-19,447.6,586.0,444.1,573.99,534.6966666666666,495.1945051580113,518.5148671401136
2014-05-26,574.55,680.0,551.0,626.42,619.14,517.7300496747365,528.0982131267695
2014-06-02,631.98,685.0,615.0,658.7,652.9,542.3064042793299,539.9840975908867
2014-06-09,658.7,672.0,522.15,593.89,596.0133333333333,552.0713004709669,545.3202152806435
2014-06-16,593.61,619.6,582.1,603.4,601.6999999999999,561.0947003853365,550.6897185872489
2014-06-23,603.39,607.21,560.53,601.5,589.7466666666667,566.3041488001238,554.4094279281458
2014-06-30,601.95,665.0,598.4,637.38,633.5933333333334,578.5385459879801,561.9507522524493
2014-07-07,637.76,642.79,608.43,629.49,626.9033333333333,587.3321436871353,568.1367123553906
2014-07-14,629.6,633.6,611.21,624.0,622.9366666666666,593.8056933197773,573.3557556231311
2014-07-21,624.0,624.95,589.0,591.55,601.8333333333334,595.2652642313329,576.0679058812457
2014-07-28,591.5,605.72,561.47,585.71,584.3000000000001,593.2715798256361,576.8519148449366
2014-08-04,587.0,598.88,574.01,588.61,587.1666666666666,592.1615956149144,577.8342721612918
2014-08-11,587.97,588.7,451.0,497.4,512.3666666666667,577.653426715233,571.5992621141846
2014-08-18,497.57,534.89,443.0,510.82,496.2366666666667,562.8503794336755,564.4218720715638
2014-08-25,511.41,522.8,471.65,477.8,490.75,549.7412195366436,557.4055033028435
2014-09-01,477.84,497.24,468.82,480.0,482.02,537.4282705299811,550.2259315597155
2014-09-08,479.88,489.99,463.0,476.5,476.49666666666667,526.3497971002876,543.2040968079965
2014-09-15,477.13,480.3,381.5,399.26,420.3533333333333,507.07771277902316,531.5040240961238
2014-09-22,400.03,447.11,365.0,376.32,396.1433333333334,486.9078256070796,518.6125297377628
2014-09-29,375.87,398.7,275.0,319.9,331.2,458.59731186033787,500.76371738178534
2014-10-06,319.9,387.13,301.0,378.05,355.3933333333334,439.8329521281552,486.9189189009804
2014-10-13,378.05,414.42,368.24,388.05,390.2366666666667,430.81544568061184,477.71108535485524
2014-10-20,388.07,394.0,337.65,353.01,361.5533333333333,418.222334344743,466.6484423051865
2014-10-27,353.07,359.47,315.54,323.82,332.9433333333333,402.7170614335776,453.9146224031052
2014-11-03,323.8,364.12,321.0,362.61,349.24333333333334,392.99456541535136,443.9459282059841
2014-11-10,362.6,475.0,356.33,391.65,407.66,395.6610080671057,440.4901255196999
2014-11-17,391.8,413.48,340.0,368.25,373.91,391.70627932763193,434.1491611844904
2014-11-24,368.0,396.87,355.51,379.89,377.42333333333335,389.1093800559413,428.7467013891421
2014-12-01,379.67,387.99,366.1,376.2,376.7633333333333,386.86464428819437,423.79590443144605
2014-12-08,376.29,378.34,335.7,353.65,355.8966666666667,381.23410290246204,417.3293103586099
2014-12-15,353.7,354.6,302.32,320.79,325.90333333333336,371.1739629808023,408.6220744514407
2014-12-22,321.19,337.79,310.0,316.96,321.5833333333333,362.15748486308064,400.3326705354305
2014-12-29,316.91,322.9,255.03,264.19,280.70666666666665,347.3482451910054,388.9397177860244
2015-01-05,264.04,303.33,263.75,267.27,278.1166666666666,334.7606854593074,378.38514148894274
2015-01-12,267.54,274.44,166.45,211.06,217.3166666666667,313.4072274970091,363.0452867439641
2015-01-19,210.98,259.39,203.7,254.73,239.2733333333333,299.92833764906806,351.25748165723735
2015-01-26,255.1,315.0,211.02,226.92,250.98,291.02863989469205,341.70724530892903
2015-02-02,226.8,248.42,210.12,223.85,227.46333333333334,279.4713114289905,330.8268727398247
2015-02-09,224.13,268.54,214.0,235.88,239.47333333333336,272.19895177523466,322.12653565349217
2015-02-16,235.34,248.98,228.62,236.5,238.03333333333333,265.98702114943444,314.1176592420485
2015-02-23,236.5,266.91,232.61,262.4,253.97333333333336,263.8027142737797,308.38962820312327
2015-03-02,262.47,294.0,258.98,275.59,276.19,266.0549480421834,305.322996945683
2015-03-09,275.58,303.96,275.01,286.9,288.62333333333333,270.1582908223925,303.7325527921259
2015-03-16,286.71,295.2,246.98,268.82,270.3333333333333,270.1901167334726,300.55167474843137
2015-03-23,268.6,271.5,235.7,242.44,249.88,266.4973682364776,295.72580096286646
2015-03-30,242.77,261.25,236.24,260.67,252.72000000000003,263.9923921934817,291.6300103949744
2015-04-06,260.7,262.45,230.75,236.38,243.1933333333333,260.21074512800016,287.01699353196096
2015-04-13,236.2,237.7,216.37,222.21,225.42666666666665,253.88636722593952,281.15124811621865
2015-04-20,222.55,238.99,213.92,219.7,224.2033333333333,248.48945197273838,275.7276371845153
2015-04-27,219.73,243.73,218.24,240.57,234.17999999999998,245.88773343224048,271.7707193574186
2015-05-04,240.69,249.22,226.42,240.72,238.78666666666666,244.59663038395433,268.62938100591845
2015-05-11,240.8,245.49,232.1,236.24,237.94333333333336,243.38694001111415,265.70690027519606
2015-05-18,236.14,242.98,229.0,240.96,237.64666666666668,242.34325394848733,263.03449707438375
2015-05-25,240.92,241.12,227.0,228.7,232.2733333333333,240.5123592911866,260.1048624323789
2015-06-01,228.38,230.89,219.71,223.26,224.62,237.62283942006178,256.7253517245333
2015-06-08,223.29,235.44,223.25,233.54,230.74333333333334,236.3720201315657,254.25087378251428
2015-06-15,233.5,259.1,233.35,244.25,245.5666666666667,238.04377404703862,253.42380643814784
2015-06-22,244.25,252.06,239.0,248.71,246.59,239.59763331121343,252.7729677297528
2015-06-29,248.71,275.88,248.57,271.94,265.46333333333337,244.30048786068977,253.98157397771286
2015-07-06,271.82,316.23,262.61,311.14,296.66,253.82039915874617,258.04618597983546
2015-07-13,311.18,312.0,272.0,275.04,286.34666666666664,259.73426597836806,260.74146985477176
2015-07-20,275.03,294.57,273.5,293.02,287.03,264.69712670957387,263.24513939241257
2015-07-27,293.0,298.93,276.26,282.44,285.8766666666667,268.54795215631805,265.4005229423415
2015-08-03,282.37,287.05,260.62,265.66,271.11000000000007,269.0137790369875,265.94428266211855
2015-08-10,265.8,273.75,256.5,259.9,263.3833333333333,267.9900616363231,265.70038272604376
2015-08-17,259.9,262.37,162.0,228.53,217.63333333333333,258.8342928539613,261.1225684981666
2015-08-24,228.1,238.9,196.6,229.99,221.83,252.10623960778653,257.3804191173888
2015-08-31,229.99,248.48,225.31,240.98,238.25666666666666,249.58813543667384,255.55910936017716
2015-09-07,241.0,247.68,228.42,230.96,235.6866666666667,247.0605956603089,253.66649577031902
2015-09-14,231.11,236.26,227.0,232.12,231.79333333333332,244.28472978267698,251.58333744298704
2015-09-21,232.11,237.7,224.25,233.37,231.7733333333333,242.00993042825087,249.69667038492477
2015-09-28,233.37,241.5,233.37,239.5,238.12333333333333,241.30327641099313,248.59444780858274
2015-10-05,239.48,249.01,236.24,248.0,244.41666666666666,241.86934736657014,248.19656389030501
2015-10-12,247.92,275.19,244.0,265.01,261.40000000000003,245.42037511810284,249.45403399599024
2015-10-19,265.29,295.99,262.35,284.79,281.04333333333335,251.8972766117811,252.46253869478483
2015-10-26,284.7,336.0,282.25,330.23,316.16,263.5814081369118,258.5289635809958
2015-11-02,330.23,504.0,326.8,374.1,401.6333333333334,288.6817581726248,272.15795117645655
2015-11-09,374.6,388.99,300.28,320.53,336.59999999999997,297.3941657776021,278.29528915965113
2015-11-16,320.81,342.5,309.46,324.66,325.54,302.5115901816744,282.7947854301606
2015-11-23,324.67,376.0,315.55,373.89,355.1466666666667,312.08160408803667,289.6854407860183
2015-11-30,373.84,407.57,346.13,390.6,381.4333333333334,324.69100940536333,298.42333531433405
2015-12-07,390.73,475.04,384.53,433.35,430.97333333333336,344.01506830135787,311.0471446494768
2015-12-14,432.51,469.99,427.3,442.62,446.6366666666666,362.673540731414,323.9604324606378
2015-12-21,442.62,460.05,405.5,422.32,429.28999999999996,374.78562423479326,333.9918198453389
2015-12-28,421.82,436.49,412.5,428.39,425.79333333333335,384.05975316180053,342.7348211299098
2016-01-04,428.64,465.0,425.03,449.35,446.46000000000004,395.4052525869277,352.6134095937279
2016-01-11,449.34,452.49,352.5,382.02,395.67,395.45338848021356,356.7140372514681
2016-01-18,382.11,428.0,371.25,402.77,400.67333333333335,396.402469362599,360.9006368783124
2016-01-25,402.76,402.77,360.03,365.52,376.1066666666666,392.712323417884,362.348830191489
2016-02-01,365.58,393.89,363.23,372.01,376.3766666666667,389.7422040085718,363.6848146176964
2016-02-08,372.33,408.66,369.01,408.3,395.3233333333333,390.75695479489207,366.6980068763285
2016-02-15,408.3,451.6,395.23,440.49,429.10666666666674,397.7296296806693,372.6416887611226
2016-02-22,440.49,442.67,409.69,434.45,428.93666666666667,403.40363640539607,378.0031152283173
2016-02-29,434.46,445.0,389.0,403.75,412.5833333333333,405.07267221047556,381.29646933355696
2016-03-07,403.77,423.6,401.51,411.87,412.32666666666665,406.3915802934194,384.25172622242457
2016-03-14,412.0,420.6,403.01,411.25,411.62000000000006,407.34220205825227,386.85822848695557
2016-03-21,410.81,431.0,406.0,427.36,421.4533333333334,409.9078622900852,390.1530003770868
2016-03-28,427.34,427.99,406.51,420.6,418.3666666666666,411.4458267221909,392.84001621418963
2016-04-04,420.99,425.0,412.0,421.32,419.44,412.89931277270165,395.37334800331445
2016-04-11,421.32,435.67,418.8,428.51,427.66,415.5830740867559,398.448267241094
2016-04-18,428.51,464.99,426.52,463.02,451.51,422.1152424346185,403.50176559908505
2016-04-25,463.33,471.99,435.0,451.11,452.7,427.676107446506,408.1873117325055
2016-05-02,451.12,466.0,436.0,459.87,453.95666666666665,432.4543909410807,412.54629791671135
2016-05-09,459.88,465.4,445.01,457.89,456.09999999999997,436.75359258815695,416.69426954369123
2016-05-16,457.95,458.95,433.0,437.48,443.1433333333334,437.91536363273445,419.2132279998476
2016-05-23,437.4,570.0,436.51,531.0,512.5033333333333,451.476812669207,428.09799993637006
2016-05-30,529.97,593.89,518.0,574.02,561.9699999999999,471.56648309298754,440.84771422814435
2016-06-06,574.01,685.0,561.3,672.0,639.4333333333333,502.08772859123223,459.76063033340046
2016-06-13,671.52,789.78,656.51,767.3,737.8633333333333,544.9560203625233,486.2466020476798
2016-06-20,767.31,767.77,555.56,627.52,650.2833333333333,564.1064409026706,501.8691478844087
2016-06-27,627.75,706.98,616.07,659.29,660.7800000000001,581.6834516476396,517.0035147525602
2016-07-04,659.33,684.44,610.1,649.72,648.0866666666667,593.7567634692808,529.4876244586657
2016-07-11,649.08,689.96,643.4,683.2,672.1866666666667,608.0167458688055,543.0780094308562
2016-07-18,683.17,686.74,639.41,661.82,662.6566666666668,617.951276922962,554.4664529771239
